time_hours,CommunityReplicate,SangerID,Genus,type,Family,ChromoType,mean.glu,abs.mean,pH.orig,aceConc_nmol_uL,succConc_nmol_uL,lacConc_nmol_uL
16,C11R5,356,Raoultella,mono,Enterobacteriacea,B,0,0.176666667,5.765533415,7.369576384,0.337365139,3.702240764
16,C11R5,462,Pseudomonas,mono,Pseudomonadaceae,W,0.046970824,0.124333333,6.312732864,0.071318481,0.038065247,0.009566514
16,C11R6,358,Raoultella,mono,Enterobacteriacea,B,0,0.184333333,5.782564725,8.401242836,0.258521907,2.920975487
16,C11R6,360,Klebsiella,mono,Enterobacteriacea,B,0,0.188,6.147215015,7.066395456,0.26078436,0.794020629
16,C1R2,259,Citrobacter,mono,Enterobacteriacea,B,0.007485186,0.164666667,4.542101085,10.68209437,0.478546119,3.459889086
16,C1R2,364,Serratia,mono,Enterobacteriacea,B,0.006974934,0.176,5.91469752,6.835841079,0.833887474,2.790233134
16,C1R2,428,Pseudomonas,mono,Pseudomonadaceae,W,0.07691868,0.034,6.824319251,0,0.020404903,0.047832568
16,C1R2,432,Pseudomonas,mono,Pseudomonadaceae,W,0,0.135,6.293778499,0,0.024076326,0.019133027
16,C1R4,267,Pseudomonas,mono,Pseudomonadaceae,W,0.2,0.087666667,6.670972254,0,0.029583462,0
16,C1R4,269,Enterobacter,mono,Enterobacteriacea,B,0,0.171666667,5.854470173,8.260703095,0.629598976,0.685600142
16,C1R4,270,Citrobacter,mono,Enterobacteriacea,B,0.016120216,0.143666667,4.867230929,10.07893192,0.50922873,4.464373015
16,C1R4,435,Citrobacter,mono,Enterobacteriacea,B,0.014667961,0.151333333,4.983268484,10.12263935,0.458877778,4.693969341
16,C1R6,272,Pseudomonas,mono,Pseudomonadaceae,W,0.014864212,0.229333333,6.288980107,0.305951966,0.033254885,0.057399082
16,C1R6,273,Enterobacter,mono,Enterobacteriacea,B,0,0.172333333,5.770577991,9.755496988,0.66736219,0.58355733
16,C1R6,274,Pseudomonas,mono,Pseudomonadaceae,W,0.2,0.074666667,6.599563082,0.078673363,0.029583462,0
16,C1R6,438,Serratia,mono,Enterobacteriacea,B,0.021536735,0.164666667,5.818615102,8.636586939,0.813694645,2.863576405
16,C1R6,439,Citrobacter,mono,Enterobacteriacea,B,0.001401414,0.165,4.558795489,10.60342101,0.50975322,4.359141365
16,C1R7,283,Enterobacter,mono,Enterobacteriacea,B,0,0.197,5.09054523,9.66808214,0.53230625,5.303037374
16,C1R7,284,Serratia,mono,Enterobacteriacea,B,0.007445936,0.174,5.895514698,6.722201778,0.82785585,2.503237726
16,C1R7,286,Citrobacter,mono,Enterobacteriacea,B,0.028091508,0.142,4.558795489,9.86913629,0.396201333,3.785150549
16,C1R7,287,Raoultella,mono,Enterobacteriacea,B,0,0.163666667,5.818615102,9.029953753,0.344276913,3.003885271
16,C1R7,440,Enterobacter,mono,Enterobacteriacea,B,0,0.181666667,5.872204748,10.11389786,0.645333648,0.551668951
16,C1R7,441,Pseudomonas,mono,Pseudomonadaceae,W,0.2,0.045,6.656782624,0.087414848,0.029583462,0
16,C1R7,442,Enterobacter,mono,Enterobacteriacea,B,0,0.202333333,5.28348553,10.55971359,0.577674556,4.636570259
16,C2R4,160,Enterobacter,mono,Enterobacteriacea,B,0,0.185666667,4.906420826,9.064895771,0.459201505,5.290282022
16,C2R4,165,Raoultella,mono,Enterobacteriacea,B,0,0.122333333,5.357652347,10.2187469,0.26757172,4.974587073
16,C2R4,169,Citrobacter,mono,Enterobacteriacea,B,0.017847222,0.163666667,4.803877013,9.404263749,0.346757581,3.721373791
16,C2R4,523,Pseudomonas,mono,Pseudomonadaceae,W,0.004462925,0.098,6.304880723,0.535447254,0.019380605,0
16,C2R6,276,Enterobacter,mono,Enterobacteriacea,B,0.00022391,0.181333333,4.954870624,9.711789564,0.583181691,5.111707102
16,C2R6,277,Raoultella,mono,Enterobacteriacea,B,0,0.133,4.893136579,9.755496988,0.321461638,6.007770542
16,C2R6,278,Citrobacter,mono,Enterobacteriacea,B,0.019220977,0.163,4.706966936,10.55971359,0.451010442,4.406973933
16,C2R8,288,Raoultella,mono,Enterobacteriacea,B,0,0.153666667,5.306853687,8.626644786,0.316085642,4.566415826
16,C2R8,289,Citrobacter,mono,Enterobacteriacea,B,0.018789226,0.162666667,4.893136579,9.821902799,0.493295635,3.896759874
16,C2R8,290,Pseudomonas,mono,Pseudomonadaceae,W,0.017062219,0.063,6.337729291,0.233854829,0.020389204,0
16,C2R8,444,Pseudomonas,mono,Pseudomonadaceae,W,0.019063976,0.073,6.330750217,0.277161278,0.020129365,0
16,C4R1,294,Pseudomonas,mono,Pseudomonadaceae,W,0.141128349,0.035666667,6.569979579,0.173225799,0.018570333,0
16,C4R1,295,Klebsiella,mono,Enterobacteriacea,B,0,0.199666667,5.630140712,9.276241532,0.349344996,2.595714024
